ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,5.447,5.447,{built-in method builtins.exec}
1,0.000,0.000,5.447,5.447,<string>:1(<module>)
1,0.000,0.000,5.447,5.447,{bggcohomology.cohomology.compute_diff}
1,0.107,0.107,5.447,5.447,bggcohomology/cohomology.pyx:171(compute_diff)
182,0.016,0.000,3.493,0.019,bggcohomology/cohomology.pyx:134(action_on_basis)
1074,2.295,0.002,2.338,0.002,bggcohomology/cohomology.pyx:18(compute_action)
182,1.208,0.007,1.582,0.009,bggcohomology/cohomology.pyx:336(coker_reduce)
182,0.672,0.004,0.941,0.005,bggcohomology/cohomology.pyx:117(sort_cols)
363,0.011,0.000,0.386,0.001,bggcohomology/cohomology.pyx:100(sort_merge)
363,0.199,0.001,0.310,0.001,bggcohomology/cohomology.pyx:73(merge_sorted_image)
53059/45531,0.128,0.000,0.261,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
294086,0.101,0.000,0.214,0.000,stringsource:403(__getitem__)
613015,0.105,0.000,0.163,0.000,stringsource:657(memoryview_cwrapper)
38584,0.015,0.000,0.145,0.000,<__array_function__ internals>:177(any)
38584,0.021,0.000,0.101,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2305(any)
38584,0.030,0.000,0.080,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
162232,0.062,0.000,0.079,0.000,stringsource:999(memoryview_fromslice)
294086,0.041,0.000,0.067,0.000,stringsource:393(get_item_pointer)
775247,0.067,0.000,0.067,0.000,stringsource:345(__cinit__)
364,0.000,0.000,0.064,0.000,<__array_function__ internals>:177(lexsort)
1,0.047,0.047,0.047,0.047,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:819(_element_constructor_)
3764,0.003,0.000,0.042,0.000,<__array_function__ internals>:177(zeros_like)
38584,0.038,0.000,0.038,0.000,{method 'reduce' of 'numpy.ufunc' objects}
775247,0.036,0.000,0.036,0.000,stringsource:372(__dealloc__)
3764,0.007,0.000,0.035,0.000,/usr/lib/python3.10/site-packages/numpy/core/numeric.py:76(zeros_like)
611198,0.035,0.000,0.035,0.000,bggcohomology/cohomology.pyx:105(permutation_sign)
294086,0.034,0.000,0.034,0.000,stringsource:666(_unellipsify)
613015,0.028,0.000,0.028,0.000,stringsource:663(memoryview_check)
294086,0.026,0.000,0.026,0.000,stringsource:910(pybuffer_index)
2161,0.001,0.000,0.018,0.000,<__array_function__ internals>:177(concatenate)
294,0.000,0.000,0.016,0.000,<__array_function__ internals>:177(sort)
294,0.001,0.000,0.015,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:852(sort)
273219,0.014,0.000,0.014,0.000,bggcohomology/cohomology.pyx:52(check_equal)
3764,0.002,0.000,0.013,0.000,<__array_function__ internals>:177(copyto)
