ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
16/1,0.001,0.000,2506.903,2506.903,{built-in method builtins.exec}
1,5.114,5.114,2506.903,2506.903,<string>:1(<module>)
30,1112.115,37.071,1684.716,56.157,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:166(Eijk_basis)
30,0.103,0.003,636.313,21.210,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:1044(cohomology)
20,0.006,0.000,636.130,31.806,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:1004(cohomology_component)
40,0.000,0.000,589.329,14.733,{bggcohomology.cohomology.compute_diff}
40,0.347,0.009,589.329,14.733,bggcohomology/cohomology.pyx:173(compute_diff)
90,0.003,0.000,312.467,3.472,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:55(Mjk)
6433,0.245,0.000,311.251,0.048,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:404(__getitem__)
546,103.046,0.189,311.005,0.570,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:426(_compute_kernel)
90,100.875,1.121,310.869,3.454,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:97(__init__)
90,0.159,0.002,209.549,2.328,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:291(initialize_weight_components)
180,55.855,0.310,207.757,1.154,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:249(compute_weight_components)
54172059/50298483,44.184,0.000,182.271,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
30,174.340,5.811,174.501,5.817,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:342(_quotient_basis_indices)
29335,1.409,0.000,143.622,0.005,bggcohomology/cohomology.pyx:102(sort_merge)
3566,99.010,0.028,141.792,0.040,bggcohomology/cohomology.pyx:325(coker_reduce)
41667589,15.793,0.000,141.546,0.000,<__array_function__ internals>:177(all)
32658,137.402,0.004,141.377,0.004,{method 'solve_right' of 'sage.matrix.matrix2.Matrix' objects}
30,0.069,0.002,136.104,4.537,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:327(<dictcomp>)
29335,81.924,0.003,136.072,0.005,bggcohomology/cohomology.pyx:75(merge_sorted_image)
25769,0.017,0.000,135.247,0.005,{bggcohomology.cohomology.sort_merge}
3566,0.481,0.000,113.007,0.032,bggcohomology/cohomology.pyx:136(action_on_basis)
41667589,20.873,0.000,108.549,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2404(all)
41667770,32.095,0.000,94.352,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
17019,63.248,0.004,64.505,0.004,bggcohomology/cohomology.pyx:20(compute_action)
261450,0.104,0.000,54.666,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_misc.py:25(row_iterator)
1824660,11.162,0.000,51.969,0.000,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:99(_sort_sign)
144111,47.200,0.000,49.322,0.000,{method 'row' of 'sage.matrix.matrix1.Matrix' objects}
41680619,47.643,0.000,47.643,0.000,{method 'reduce' of 'numpy.ufunc' objects}
40,42.443,1.061,42.443,1.061,{method 'rank' of 'sage.matrix.matrix_integer_sparse.Matrix_integer_sparse' objects}
3566,27.640,0.008,39.370,0.011,bggcohomology/cohomology.pyx:119(sort_cols)
3566,20.455,0.006,37.093,0.010,bggcohomology/cohomology.pyx:276(multiindex_to_index)
83767056,27.428,0.000,34.952,0.000,stringsource:999(memoryview_fromslice)
32,0.001,0.000,34.760,1.086,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:976(__init__)
30,0.044,0.001,31.248,1.042,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:211(compute_weights)
4625031/4579231,17.491,0.000,23.999,0.000,{built-in method builtins.sum}
1824660,0.979,0.000,23.156,0.000,<__array_function__ internals>:177(hstack)
40,0.438,0.011,22.883,0.572,bggcohomology/cohomology.pyx:301(assemble_block_diff)
40,1.384,0.035,22.444,0.561,/usr/lib/python3.10/site-packages/sage/matrix/special.py:1746(block_matrix)
1824660,2.632,0.000,19.763,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:285(hstack)
8833,0.330,0.000,16.210,0.002,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:248(make_dominant)
20895958,7.247,0.000,15.001,0.000,stringsource:403(__getitem__)
30269,4.383,0.000,14.990,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:192(is_dot_regular)
3173814,1.589,0.000,14.429,0.000,<__array_function__ internals>:177(sort)
182675841,14.074,0.000,14.074,0.000,/usr/lib/python3.10/site-packages/sage/modules/free_module.py:2124(coordinate_ring)
527,13.641,0.026,13.756,0.026,{method 'stack' of 'sage.matrix.matrix1.Matrix' objects}
577088,0.595,0.000,13.521,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:233(is_dominant)
29515,0.018,0.000,12.629,0.000,<__array_function__ internals>:177(lexsort)
1895963,1.085,0.000,11.805,0.000,<__array_function__ internals>:177(concatenate)
3379102,2.761,0.000,11.586,0.000,/usr/lib/python3.10/site-packages/numpy/core/numeric.py:149(ones)
3173814,2.427,0.000,11.386,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:852(sort)
41667770,9.671,0.000,9.671,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
1755542,8.776,0.000,8.776,0.000,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:118(<listcomp>)
577155,0.372,0.000,8.174,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:113(tuple_to_weight)
