ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
16/1,0.001,0.000,2.594,2.594,{built-in method builtins.exec}
1,0.006,0.006,2.593,2.593,<string>:1(<module>)
12,0.389,0.032,1.272,0.106,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:166(Eijk_basis)
14,0.000,0.000,0.608,0.043,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:976(__init__)
36,0.001,0.000,0.552,0.015,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:55(Mjk)
14,0.000,0.000,0.323,0.023,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:46(from_bgg)
14,0.001,0.000,0.323,0.023,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:60(__init__)
14,0.008,0.001,0.319,0.023,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:126(get_action_dic)
12,0.002,0.000,0.283,0.024,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:211(compute_weights)
78887/61207,0.083,0.000,0.280,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1,0.001,0.001,0.268,0.268,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:90(__init__)
1344,0.023,0.000,0.231,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:97(weight_to_tuple)
108,0.002,0.000,0.218,0.002,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:849(build_component)
61,0.012,0.000,0.215,0.004,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:597(__init__)
36,0.046,0.001,0.202,0.006,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:97(__init__)
7904,0.051,0.000,0.180,0.000,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:99(_sort_sign)
1,0.000,0.000,0.178,0.178,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:152(_compute_weyl_dictionary)
34308/27162,0.072,0.000,0.175,0.000,{built-in method builtins.sum}
1,0.000,0.000,0.174,0.174,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:154(<dictcomp>)
84,0.019,0.000,0.173,0.002,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:754(adjoint_action_tensor)
1452,0.099,0.000,0.160,0.000,{method 'solve_right' of 'sage.matrix.matrix2.Matrix' objects}
6480,0.081,0.000,0.150,0.000,{method 'bracket' of 'sage.algebras.lie_algebras.lie_algebra_element.StructureCoefficientsElement' objects}
622,0.042,0.000,0.147,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:192(is_dot_regular)
25,0.000,0.000,0.140,0.006,/usr/lib/python3.10/site-packages/sage/groups/matrix_gps/matrix_group.py:675(__iter__)
36,0.002,0.000,0.135,0.004,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:291(initialize_weight_components)
256,0.003,0.000,0.133,0.001,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:248(make_dominant)
22799,0.015,0.000,0.131,0.000,<__array_function__ internals>:177(all)
25,0.125,0.005,0.125,0.005,/usr/lib/python3.10/site-packages/sage/groups/libgap_mixin.py:606(__iter__)
48,0.044,0.001,0.125,0.003,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:249(compute_weight_components)
3,0.000,0.000,0.123,0.041,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/notebook.py:210(__init__)
1872,0.003,0.000,0.118,0.000,/usr/lib/python3.10/site-packages/sage/misc/call.py:34(__call__)
9343,0.016,0.000,0.116,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3596(has_descent)
1128,0.002,0.000,0.114,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3883(pred)
3,0.000,0.000,0.109,0.036,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/notebook.py:104(status_printer)
126/105,0.002,0.000,0.108,0.001,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:557(get_state)
3497,0.005,0.000,0.107,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:233(is_dominant)
22799,0.019,0.000,0.102,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2404(all)
7904,0.005,0.000,0.102,0.000,<__array_function__ internals>:177(hstack)
33/12,0.000,0.000,0.101,0.008,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:474(__init__)
33/12,0.001,0.000,0.099,0.008,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:490(open)
1674,0.051,0.000,0.099,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:810(action)
4512,0.013,0.000,0.095,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_space.py:234(scalar)
16291/8635,0.005,0.000,0.093,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:675(__get__)
6841/5248,0.008,0.000,0.090,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:643(get)
22848,0.029,0.000,0.087,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
40725/23676,0.014,0.000,0.086,0.000,{built-in method builtins.getattr}
1128,0.001,0.000,0.085,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3655(descents)
7904,0.013,0.000,0.084,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:285(hstack)
1128,0.002,0.000,0.084,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3668(<listcomp>)
